ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
USER	AirlineListAirports	64	START	1590233310445	1590233310445
USER	ClientListAirports	85	START	1590233310447	1590233310447
USER	AirlineShowAirport	43	START	1590233310442	1590233310442
USER	AirlineCreateAirport	22	START	1590233310441	1590233310441
USER	ClientShowAirport	106	START	1590233310450	1590233310450
USER	AirlineDeleteAirport	127	START	1590233310451	1590233310451
USER	AirlineEditAirport	1	START	1590233310434	1590233310434
REQUEST	64		Home	1590233310477	1590233310496	OK	 
REQUEST	106		Home	1590233310477	1590233310496	OK	 
REQUEST	43		Home	1590233310477	1590233310496	OK	 
REQUEST	85		Home	1590233310477	1590233310496	OK	 
REQUEST	1		Home	1590233310477	1590233310496	OK	 
REQUEST	22		Home	1590233310477	1590233310496	OK	 
REQUEST	127		Home	1590233310477	1590233310496	OK	 
USER	ClientShowAirport	107	START	1590233310533	1590233310533
USER	AirlineShowAirport	44	START	1590233310533	1590233310533
USER	AirlineDeleteAirport	128	START	1590233310533	1590233310533
USER	AirlineCreateAirport	23	START	1590233310533	1590233310533
REQUEST	44		Home	1590233310534	1590233310538	OK	 
REQUEST	23		Home	1590233310534	1590233310538	OK	 
USER	AirlineListAirports	65	START	1590233310543	1590233310543
USER	ClientListAirports	86	START	1590233310543	1590233310543
USER	AirlineEditAirport	2	START	1590233310543	1590233310543
REQUEST	2		Home	1590233310544	1590233310547	OK	 
REQUEST	128		Home	1590233310534	1590233310571	OK	 
REQUEST	86		Home	1590233310544	1590233310571	OK	 
REQUEST	65		Home	1590233310544	1590233310571	OK	 
REQUEST	107		Home	1590233310534	1590233310571	OK	 
USER	ClientShowAirport	108	START	1590233310633	1590233310633
USER	AirlineDeleteAirport	129	START	1590233310633	1590233310633
USER	AirlineCreateAirport	24	START	1590233310633	1590233310633
USER	AirlineShowAirport	45	START	1590233310633	1590233310633
REQUEST	129		Home	1590233310634	1590233310637	OK	 
REQUEST	108		Home	1590233310634	1590233310637	OK	 
