ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaAeropuertoCSV	aerolineacreaaeropuertocsv	1590714919533	 	3.3.1
USER	AirlineCreateAirport	1	START	1590714921833	1590714921833
USER	AirlineCreateAirport	2	START	1590714921936	1590714921936
REQUEST	2		Home	1590714921937	1590714921951	OK	 
REQUEST	1		Home	1590714921883	1590714921931	OK	 
USER	AirlineCreateAirport	3	START	1590714922035	1590714922035
REQUEST	3		Home	1590714922035	1590714922045	OK	 
USER	AirlineCreateAirport	4	START	1590714922145	1590714922145
REQUEST	4		Home	1590714922146	1590714922153	OK	 
USER	AirlineCreateAirport	5	START	1590714922245	1590714922245
REQUEST	5		Home	1590714922245	1590714922252	OK	 
USER	AirlineCreateAirport	6	START	1590714922345	1590714922345
REQUEST	6		Home	1590714922346	1590714922356	OK	 
USER	AirlineCreateAirport	7	START	1590714922445	1590714922445
REQUEST	7		Home	1590714922445	1590714922453	OK	 
USER	AirlineCreateAirport	8	START	1590714922550	1590714922550
REQUEST	8		Home	1590714922551	1590714922557	OK	 
USER	AirlineCreateAirport	9	START	1590714922650	1590714922650
REQUEST	9		Home	1590714922651	1590714922657	OK	 
USER	AirlineCreateAirport	10	START	1590714922745	1590714922745
REQUEST	10		Home	1590714922745	1590714922751	OK	 
USER	AirlineCreateAirport	11	START	1590714922845	1590714922845
REQUEST	11		Home	1590714922846	1590714922855	OK	 
USER	AirlineCreateAirport	12	START	1590714922947	1590714922947
REQUEST	12		Home	1590714922951	1590714922968	OK	 
USER	AirlineCreateAirport	13	START	1590714923050	1590714923050
REQUEST	13		Home	1590714923052	1590714923060	OK	 
USER	AirlineCreateAirport	14	START	1590714923148	1590714923148
REQUEST	14		Home	1590714923148	1590714923153	OK	 
USER	AirlineCreateAirport	15	START	1590714923247	1590714923247
REQUEST	15		Home	1590714923248	1590714923255	OK	 
USER	AirlineCreateAirport	16	START	1590714923345	1590714923345
REQUEST	16		Home	1590714923346	1590714923352	OK	 
USER	AirlineCreateAirport	17	START	1590714923445	1590714923445
REQUEST	17		Home	1590714923445	1590714923451	OK	 
USER	AirlineCreateAirport	18	START	1590714923545	1590714923545
REQUEST	18		Home	1590714923545	1590714923551	OK	 
USER	AirlineCreateAirport	19	START	1590714923646	1590714923646
REQUEST	19		Home	1590714923647	1590714923652	OK	 
USER	AirlineCreateAirport	20	START	1590714923746	1590714923746
REQUEST	20		Home	1590714923747	1590714923752	OK	 
USER	AirlineCreateAirport	21	START	1590714923845	1590714923845
REQUEST	21		Home	1590714923845	1590714923850	OK	 
USER	AirlineCreateAirport	22	START	1590714923935	1590714923935
REQUEST	22		Home	1590714923936	1590714923941	OK	 
USER	AirlineCreateAirport	23	START	1590714924038	1590714924038
REQUEST	23		Home	1590714924039	1590714924045	OK	 
USER	AirlineCreateAirport	24	START	1590714924141	1590714924141
REQUEST	24		Home	1590714924141	1590714924147	OK	 
USER	AirlineCreateAirport	25	START	1590714924235	1590714924235
REQUEST	25		Home	1590714924236	1590714924242	OK	 
USER	AirlineCreateAirport	26	START	1590714924335	1590714924335
REQUEST	26		Home	1590714924335	1590714924341	OK	 
USER	AirlineCreateAirport	27	START	1590714924436	1590714924436
REQUEST	27		Home	1590714924436	1590714924442	OK	 
USER	AirlineCreateAirport	28	START	1590714924535	1590714924535
REQUEST	28		Home	1590714924536	1590714924541	OK	 
USER	AirlineCreateAirport	29	START	1590714924638	1590714924638
REQUEST	29		Home	1590714924639	1590714924644	OK	 
USER	AirlineCreateAirport	30	START	1590714924738	1590714924738
REQUEST	30		Home	1590714924738	1590714924744	OK	 
USER	AirlineCreateAirport	31	START	1590714924837	1590714924837
REQUEST	31		Home	1590714924838	1590714924843	OK	 
USER	AirlineCreateAirport	32	START	1590714924925	1590714924925
REQUEST	32		Home	1590714924926	1590714924933	OK	 
USER	AirlineCreateAirport	33	START	1590714925025	1590714925025
REQUEST	33		Home	1590714925026	1590714925031	OK	 
USER	AirlineCreateAirport	34	START	1590714925125	1590714925125
REQUEST	34		Home	1590714925126	1590714925131	OK	 
USER	AirlineCreateAirport	35	START	1590714925226	1590714925226
REQUEST	35		Home	1590714925227	1590714925232	OK	 
