ASSERTION	AAEDAAEBAwAAAAAAAEB/QA==
ASSERTION	AAEDAAECAwAAAAAAAEB/QA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.AerolineaCreaAvionCSV	aerolineacreaavioncsv	1590711334090	 	3.3.1
USER	Airlines	1	START	1590711337078	1590711337078
USER	Airlines	2	START	1590711337199	1590711337199
REQUEST	1		AirlineLogin	1590711337120	1590711337148	OK	 
REQUEST	2		AirlineLogin	1590711337200	1590711337212	OK	 
USER	Airlines	3	START	1590711337301	1590711337301
REQUEST	3		AirlineLogin	1590711337302	1590711337308	OK	 
USER	Airlines	4	START	1590711337399	1590711337399
REQUEST	4		AirlineLogin	1590711337400	1590711337407	OK	 
USER	Airlines	5	START	1590711337501	1590711337501
REQUEST	5		AirlineLogin	1590711337502	1590711337510	OK	 
USER	Airlines	6	START	1590711337596	1590711337596
REQUEST	6		AirlineLogin	1590711337598	1590711337604	OK	 
USER	Airlines	7	START	1590711337696	1590711337696
REQUEST	7		AirlineLogin	1590711337696	1590711337702	OK	 
USER	Airlines	8	START	1590711337795	1590711337795
REQUEST	8		AirlineLogin	1590711337796	1590711337801	OK	 
USER	Airlines	9	START	1590711337895	1590711337895
REQUEST	9		AirlineLogin	1590711337896	1590711337901	OK	 
USER	Airlines	10	START	1590711337996	1590711337996
REQUEST	10		AirlineLogin	1590711337996	1590711338001	OK	 
USER	Airlines	11	START	1590711338100	1590711338100
REQUEST	11		AirlineLogin	1590711338110	1590711338117	OK	 
USER	Airlines	12	START	1590711338204	1590711338204
REQUEST	12		AirlineLogin	1590711338205	1590711338213	OK	 
USER	Airlines	13	START	1590711338296	1590711338296
REQUEST	13		AirlineLogin	1590711338296	1590711338301	OK	 
USER	Airlines	14	START	1590711338397	1590711338397
REQUEST	14		AirlineLogin	1590711338398	1590711338402	OK	 
USER	Airlines	15	START	1590711338496	1590711338496
REQUEST	15		AirlineLogin	1590711338496	1590711338501	OK	 
USER	Airlines	16	START	1590711338607	1590711338607
REQUEST	16		AirlineLogin	1590711338608	1590711338613	OK	 
USER	Airlines	17	START	1590711338709	1590711338709
REQUEST	17		AirlineLogin	1590711338709	1590711338715	OK	 
USER	Airlines	18	START	1590711338808	1590711338808
REQUEST	18		AirlineLogin	1590711338809	1590711338813	OK	 
USER	Airlines	19	START	1590711338909	1590711338909
REQUEST	19		AirlineLogin	1590711338910	1590711338914	OK	 
USER	Airlines	20	START	1590711339008	1590711339008
REQUEST	20		AirlineLogin	1590711339009	1590711339014	OK	 
USER	Airlines	21	START	1590711339108	1590711339108
REQUEST	21		AirlineLogin	1590711339109	1590711339114	OK	 
USER	Airlines	22	START	1590711339188	1590711339188
REQUEST	22		AirlineLogin	1590711339188	1590711339192	OK	 
USER	Airlines	23	START	1590711339289	1590711339289
REQUEST	23		AirlineLogin	1590711339290	1590711339295	OK	 
USER	Airlines	24	START	1590711339390	1590711339390
REQUEST	24		AirlineLogin	1590711339391	1590711339395	OK	 
USER	Airlines	25	START	1590711339490	1590711339490
REQUEST	25		AirlineLogin	1590711339491	1590711339495	OK	 
USER	Airlines	26	START	1590711339590	1590711339590
REQUEST	26		AirlineLogin	1590711339591	1590711339595	OK	 
USER	Airlines	27	START	1590711339686	1590711339686
REQUEST	27		AirlineLogin	1590711339686	1590711339690	OK	 
USER	Airlines	28	START	1590711339786	1590711339786
REQUEST	28		AirlineLogin	1590711339786	1590711339790	OK	 
USER	Airlines	29	START	1590711339886	1590711339886
REQUEST	29		AirlineLogin	1590711339886	1590711339890	OK	 
USER	Airlines	30	START	1590711339986	1590711339986
REQUEST	30		AirlineLogin	1590711339986	1590711339991	OK	 
USER	Airlines	31	START	1590711340087	1590711340087
