ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AerolineaCreaNuevaPistaAterrizajeCSV	aerolineacreanuevapistaaterrizajecsv	1590716607430	 	3.3.1
USER	AirlineCreateRunway	1	START	1590716609480	1590716609480
USER	AirlineCreateRunway	2	START	1590716609536	1590716609536
USER	AirlineCreateRunway	3	START	1590716609609	1590716609609
REQUEST	2		Home	1590716609540	1590716609591	OK	 
REQUEST	1		Home	1590716609535	1590716609591	OK	 
REQUEST	3		Home	1590716609610	1590716609623	OK	 
USER	AirlineCreateRunway	4	START	1590716609646	1590716609646
REQUEST	4		Home	1590716609649	1590716609659	OK	 
USER	AirlineCreateRunway	5	START	1590716609714	1590716609714
REQUEST	5		Home	1590716609715	1590716609722	OK	 
USER	AirlineCreateRunway	6	START	1590716609767	1590716609767
REQUEST	6		Home	1590716609768	1590716609778	OK	 
USER	AirlineCreateRunway	7	START	1590716609818	1590716609818
REQUEST	7		Home	1590716609818	1590716609826	OK	 
USER	AirlineCreateRunway	8	START	1590716609865	1590716609865
REQUEST	8		Home	1590716609865	1590716609872	OK	 
USER	AirlineCreateRunway	9	START	1590716609917	1590716609917
REQUEST	9		Home	1590716609918	1590716609925	OK	 
USER	AirlineCreateRunway	10	START	1590716609965	1590716609965
REQUEST	10		Home	1590716609966	1590716609971	OK	 
USER	AirlineCreateRunway	11	START	1590716610019	1590716610019
REQUEST	11		Home	1590716610020	1590716610027	OK	 
USER	AirlineCreateRunway	12	START	1590716610067	1590716610067
REQUEST	12		Home	1590716610068	1590716610074	OK	 
USER	AirlineCreateRunway	13	START	1590716610114	1590716610114
REQUEST	13		Home	1590716610115	1590716610120	OK	 
USER	AirlineCreateRunway	14	START	1590716610168	1590716610168
REQUEST	14		Home	1590716610168	1590716610174	OK	 
USER	AirlineCreateRunway	15	START	1590716610215	1590716610215
REQUEST	15		Home	1590716610215	1590716610222	OK	 
USER	AirlineCreateRunway	16	START	1590716610269	1590716610269
REQUEST	16		Home	1590716610270	1590716610275	OK	 
USER	AirlineCreateRunway	17	START	1590716610317	1590716610317
REQUEST	17		Home	1590716610318	1590716610323	OK	 
USER	AirlineCreateRunway	18	START	1590716610364	1590716610364
REQUEST	18		Home	1590716610365	1590716610370	OK	 
USER	AirlineCreateRunway	19	START	1590716610418	1590716610418
REQUEST	19		Home	1590716610419	1590716610425	OK	 
USER	AirlineCreateRunway	20	START	1590716610465	1590716610465
REQUEST	20		Home	1590716610466	1590716610474	OK	 
USER	AirlineCreateRunway	21	START	1590716610519	1590716610519
REQUEST	21		Home	1590716610520	1590716610529	OK	 
USER	AirlineCreateRunway	22	START	1590716610565	1590716610565
REQUEST	22		Home	1590716610567	1590716610576	OK	 
USER	AirlineCreateRunway	23	START	1590716610616	1590716610616
REQUEST	23		Home	1590716610617	1590716610627	OK	 
USER	AirlineCreateRunway	24	START	1590716610666	1590716610666
REQUEST	24		Home	1590716610667	1590716610677	OK	 
USER	AirlineCreateRunway	25	START	1590716610720	1590716610720
REQUEST	25		Home	1590716610721	1590716610729	OK	 
USER	AirlineCreateRunway	26	START	1590716610769	1590716610769
REQUEST	26		Home	1590716610770	1590716610777	OK	 
USER	AirlineCreateRunway	27	START	1590716610816	1590716610816
REQUEST	27		Home	1590716610817	1590716610822	OK	 
USER	AirlineCreateRunway	28	START	1590716610864	1590716610864
REQUEST	28		Home	1590716610865	1590716610870	OK	 
USER	AirlineCreateRunway	29	START	1590716610919	1590716610919
REQUEST	29		Home	1590716610920	1590716610925	OK	 
USER	AirlineCreateRunway	30	START	1590716610965	1590716610965
REQUEST	30		Home	1590716610966	1590716610971	OK	 
USER	AirlineCreateRunway	31	START	1590716611017	1590716611017
REQUEST	31		Home	1590716611017	1590716611023	OK	 
USER	AirlineCreateRunway	32	START	1590716611069	1590716611069
REQUEST	32		Home	1590716611070	1590716611075	OK	 
USER	AirlineCreateRunway	33	START	1590716611116	1590716611116
REQUEST	33		Home	1590716611117	1590716611122	OK	 
USER	AirlineCreateRunway	34	START	1590716611164	1590716611164
REQUEST	34		Home	1590716611165	1590716611170	OK	 
USER	AirlineCreateRunway	35	START	1590716611216	1590716611216
REQUEST	35		Home	1590716611217	1590716611222	OK	 
USER	AirlineCreateRunway	36	START	1590716611264	1590716611264
REQUEST	36		Home	1590716611265	1590716611270	OK	 
USER	AirlineCreateRunway	37	START	1590716611317	1590716611317
REQUEST	37		Home	1590716611318	1590716611323	OK	 
USER	AirlineCreateRunway	38	START	1590716611365	1590716611365
REQUEST	38		Home	1590716611366	1590716611371	OK	 
USER	AirlineCreateRunway	39	START	1590716611418	1590716611418
REQUEST	39		Home	1590716611419	1590716611423	OK	 
USER	AirlineCreateRunway	40	START	1590716611465	1590716611465
REQUEST	40		Home	1590716611466	1590716611471	OK	 
USER	AirlineCreateRunway	41	START	1590716611519	1590716611519
REQUEST	41		Home	1590716611520	1590716611525	OK	 
USER	AirlineCreateRunway	42	START	1590716611534	1590716611534
REQUEST	42		Home	1590716611535	1590716611540	OK	 
USER	AirlineCreateRunway	43	START	1590716611588	1590716611588
REQUEST	43		Home	1590716611588	1590716611593	OK	 
USER	AirlineCreateRunway	44	START	1590716611635	1590716611635
REQUEST	44		Home	1590716611635	1590716611642	OK	 
USER	AirlineCreateRunway	45	START	1590716611688	1590716611688
REQUEST	45		Home	1590716611688	1590716611693	OK	 
USER	AirlineCreateRunway	46	START	1590716611734	1590716611734
REQUEST	46		Home	1590716611735	1590716611740	OK	 
USER	AirlineCreateRunway	47	START	1590716611787	1590716611787
REQUEST	47		Home	1590716611787	1590716611792	OK	 
USER	AirlineCreateRunway	48	START	1590716611834	1590716611834
REQUEST	48		Home	1590716611835	1590716611841	OK	 
USER	AirlineCreateRunway	49	START	1590716611888	1590716611888
REQUEST	49		Home	1590716611888	1590716611894	OK	 
USER	AirlineCreateRunway	50	START	1590716611935	1590716611935
REQUEST	50		Home	1590716611936	1590716611942	OK	 
USER	AirlineCreateRunway	51	START	1590716611989	1590716611989
REQUEST	51		Home	1590716611989	1590716611994	OK	 
USER	AirlineCreateRunway	52	START	1590716612036	1590716612036
REQUEST	52		Home	1590716612037	1590716612042	OK	 
USER	AirlineCreateRunway	53	START	1590716612090	1590716612090
REQUEST	53		Home	1590716612090	1590716612096	OK	 
USER	AirlineCreateRunway	54	START	1590716612136	1590716612136
REQUEST	54		Home	1590716612137	1590716612142	OK	 
USER	AirlineCreateRunway	55	START	1590716612184	1590716612184
REQUEST	55		Home	1590716612185	1590716612192	OK	 
USER	AirlineCreateRunway	56	START	1590716612237	1590716612237
REQUEST	56		Home	1590716612237	1590716612242	OK	 
USER	AirlineCreateRunway	57	START	1590716612284	1590716612284
REQUEST	57		Home	1590716612285	1590716612290	OK	 
USER	AirlineCreateRunway	58	START	1590716612338	1590716612338
REQUEST	58		Home	1590716612338	1590716612344	OK	 
USER	AirlineCreateRunway	59	START	1590716612385	1590716612385
REQUEST	59		Home	1590716612386	1590716612391	OK	 
USER	AirlineCreateRunway	60	START	1590716612439	1590716612439
REQUEST	60		Home	1590716612440	1590716612446	OK	 
USER	AirlineCreateRunway	61	START	1590716612486	1590716612486
REQUEST	61		Home	1590716612487	1590716612494	OK	 
USER	AirlineCreateRunway	62	START	1590716612530	1590716612530
REQUEST	62		Home	1590716612530	1590716612536	OK	 
USER	AirlineCreateRunway	63	START	1590716612577	1590716612577
REQUEST	63		Home	1590716612578	1590716612583	OK	 
USER	AirlineCreateRunway	64	START	1590716612624	1590716612624
REQUEST	64		Home	1590716612625	1590716612631	OK	 
USER	AirlineCreateRunway	65	START	1590716612677	1590716612677
REQUEST	65		Home	1590716612678	1590716612688	OK	 
USER	AirlineCreateRunway	66	START	1590716612729	1590716612729
REQUEST	66		Home	1590716612730	1590716612757	OK	 
USER	AirlineCreateRunway	67	START	1590716612775	1590716612775
REQUEST	67		Home	1590716612776	1590716612790	OK	 
USER	AirlineCreateRunway	68	START	1590716612828	1590716612828
