ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	acmevolar.performance.AerolineaRegistraVueloCSV	aerolinearegistravuelocsv	1590713590111	 	3.3.1
USER	AirlineRegistraVuelo	1	START	1590713592304	1590713592304
REQUEST	1		Home	1590713592352	1590713592396	OK	 
USER	AirlineRegistraVuelo	2	START	1590713592508	1590713592508
REQUEST	2		Home	1590713592508	1590713592519	OK	 
USER	AirlineRegistraVuelo	3	START	1590713592706	1590713592706
REQUEST	3		Home	1590713592707	1590713592714	OK	 
USER	AirlineRegistraVuelo	4	START	1590713592904	1590713592904
REQUEST	4		Home	1590713592904	1590713592912	OK	 
USER	AirlineRegistraVuelo	5	START	1590713593105	1590713593105
REQUEST	5		Home	1590713593106	1590713593115	OK	 
USER	AirlineRegistraVuelo	6	START	1590713593304	1590713593304
REQUEST	6		Home	1590713593305	1590713593319	OK	 
USER	AirlineRegistraVuelo	7	START	1590713593505	1590713593505
REQUEST	7		Home	1590713593506	1590713593516	OK	 
USER	AirlineRegistraVuelo	8	START	1590713593703	1590713593703
REQUEST	8		Home	1590713593704	1590713593710	OK	 
USER	AirlineRegistraVuelo	9	START	1590713593906	1590713593906
REQUEST	9		Home	1590713593907	1590713593913	OK	 
USER	AirlineRegistraVuelo	10	START	1590713594108	1590713594108
REQUEST	10		Home	1590713594109	1590713594115	OK	 
USER	AirlineRegistraVuelo	11	START	1590713594304	1590713594304
REQUEST	11		Home	1590713594304	1590713594310	OK	 
USER	AirlineRegistraVuelo	12	START	1590713594504	1590713594504
REQUEST	12		Home	1590713594504	1590713594510	OK	 
USER	AirlineRegistraVuelo	13	START	1590713594702	1590713594702
REQUEST	13		Home	1590713594703	1590713594708	OK	 
USER	AirlineRegistraVuelo	14	START	1590713594908	1590713594908
REQUEST	14		Home	1590713594909	1590713594914	OK	 
USER	AirlineRegistraVuelo	15	START	1590713595107	1590713595107
REQUEST	15		Home	1590713595108	1590713595114	OK	 
USER	AirlineRegistraVuelo	16	START	1590713595302	1590713595302
REQUEST	16		Home	1590713595304	1590713595310	OK	 
USER	AirlineRegistraVuelo	17	START	1590713595503	1590713595503
REQUEST	17		Home	1590713595504	1590713595510	OK	 
USER	AirlineRegistraVuelo	18	START	1590713595707	1590713595707
REQUEST	18		Home	1590713595708	1590713595713	OK	 
USER	AirlineRegistraVuelo	19	START	1590713595906	1590713595906
REQUEST	19		Home	1590713595907	1590713595912	OK	 
USER	AirlineRegistraVuelo	20	START	1590713596103	1590713596103
REQUEST	20		Home	1590713596103	1590713596108	OK	 
USER	AirlineRegistraVuelo	21	START	1590713596306	1590713596306
REQUEST	21		Home	1590713596307	1590713596312	OK	 
USER	AirlineRegistraVuelo	22	START	1590713596507	1590713596507
REQUEST	22		Home	1590713596508	1590713596516	OK	 
USER	AirlineRegistraVuelo	23	START	1590713596705	1590713596705
REQUEST	23		Home	1590713596706	1590713596711	OK	 
USER	AirlineRegistraVuelo	24	START	1590713596903	1590713596903
REQUEST	24		Home	1590713596904	1590713596910	OK	 
USER	AirlineRegistraVuelo	25	START	1590713597103	1590713597103
REQUEST	25		Home	1590713597104	1590713597109	OK	 
USER	AirlineRegistraVuelo	26	START	1590713597308	1590713597308
REQUEST	26		Home	1590713597308	1590713597315	OK	 
USER	AirlineRegistraVuelo	27	START	1590713597504	1590713597504
REQUEST	27		Home	1590713597504	1590713597509	OK	 
USER	AirlineRegistraVuelo	28	START	1590713597703	1590713597703
REQUEST	28		Home	1590713597704	1590713597709	OK	 
USER	AirlineRegistraVuelo	29	START	1590713597908	1590713597908
REQUEST	29		Home	1590713597909	1590713597915	OK	 
USER	AirlineRegistraVuelo	30	START	1590713598102	1590713598102
REQUEST	30		Home	1590713598103	1590713598108	OK	 
USER	AirlineRegistraVuelo	31	START	1590713598304	1590713598304
REQUEST	31		Home	1590713598305	1590713598311	OK	 
REQUEST	1		Login	1590713598419	1590713598422	OK	 
USER	AirlineRegistraVuelo	32	START	1590713598508	1590713598508
REQUEST	32		Home	1590713598509	1590713598514	OK	 
REQUEST	2		Login	1590713598544	1590713598547	OK	 
USER	AirlineRegistraVuelo	33	START	1590713598705	1590713598705
REQUEST	33		Home	1590713598705	1590713598710	OK	 
REQUEST	3		Login	1590713598738	1590713598741	OK	 
USER	AirlineRegistraVuelo	34	START	1590713598902	1590713598902
REQUEST	34		Home	1590713598903	1590713598909	OK	 
REQUEST	4		Login	1590713598934	1590713598937	OK	 
USER	AirlineRegistraVuelo	35	START	1590713599108	1590713599108
REQUEST	35		Home	1590713599108	1590713599113	OK	 
REQUEST	5		Login	1590713599134	1590713599137	OK	 
USER	AirlineRegistraVuelo	36	START	1590713599302	1590713599302
REQUEST	36		Home	1590713599303	1590713599309	OK	 
REQUEST	6		Login	1590713599335	1590713599337	OK	 
USER	AirlineRegistraVuelo	37	START	1590713599505	1590713599505
REQUEST	37		Home	1590713599506	1590713599512	OK	 
REQUEST	7		Login	1590713599537	1590713599540	OK	 
USER	AirlineRegistraVuelo	38	START	1590713599705	1590713599705
REQUEST	38		Home	1590713599706	1590713599712	OK	 
REQUEST	8		Login	1590713599727	1590713599729	OK	 
USER	AirlineRegistraVuelo	39	START	1590713599902	1590713599902
REQUEST	39		Home	1590713599903	1590713599908	OK	 
REQUEST	9		Login	1590713599923	1590713599926	OK	 
USER	AirlineRegistraVuelo	40	START	1590713600106	1590713600106
REQUEST	40		Home	1590713600107	1590713600112	OK	 
REQUEST	10		Login	1590713600127	1590713600130	OK	 
USER	AirlineRegistraVuelo	41	START	1590713600307	1590713600307
REQUEST	41		Home	1590713600308	1590713600313	OK	 
REQUEST	11		Login	1590713600323	1590713600325	OK	 
USER	AirlineRegistraVuelo	42	START	1590713600496	1590713600496
REQUEST	42		Home	1590713600496	1590713600502	OK	 
REQUEST	12		Login	1590713600529	1590713600532	OK	 
USER	AirlineRegistraVuelo	43	START	1590713600698	1590713600698
REQUEST	43		Home	1590713600699	1590713600711	OK	 
REQUEST	13		Login	1590713600724	1590713600727	OK	 
USER	AirlineRegistraVuelo	44	START	1590713600894	1590713600894
REQUEST	44		Home	1590713600895	1590713600900	OK	 
REQUEST	14		Login	1590713600927	1590713600930	OK	 
USER	AirlineRegistraVuelo	45	START	1590713601094	1590713601094
REQUEST	45		Home	1590713601095	1590713601100	OK	 
REQUEST	15		Login	1590713601128	1590713601130	OK	 
USER	AirlineRegistraVuelo	46	START	1590713601298	1590713601298
REQUEST	46		Home	1590713601299	1590713601304	OK	 
REQUEST	16		Login	1590713601323	1590713601326	OK	 
USER	AirlineRegistraVuelo	47	START	1590713601492	1590713601492
REQUEST	47		Home	1590713601493	1590713601498	OK	 
REQUEST	17		Login	1590713601524	1590713601527	OK	 
USER	AirlineRegistraVuelo	48	START	1590713601697	1590713601697
REQUEST	48		Home	1590713601698	1590713601703	OK	 
REQUEST	18		Login	1590713601724	1590713601727	OK	 
USER	AirlineRegistraVuelo	49	START	1590713601896	1590713601896
REQUEST	49		Home	1590713601897	1590713601902	OK	 
REQUEST	19		Login	1590713601923	1590713601926	OK	 
USER	AirlineRegistraVuelo	50	START	1590713602097	1590713602097
REQUEST	50		Home	1590713602097	1590713602103	OK	 
REQUEST	20		Login	1590713602123	1590713602126	OK	 
USER	AirlineRegistraVuelo	51	START	1590713602292	1590713602292
REQUEST	51		Home	1590713602293	1590713602299	OK	 
REQUEST	21		Login	1590713602324	1590713602327	OK	 
USER	AirlineRegistraVuelo	52	START	1590713602504	1590713602504
REQUEST	52		Home	1590713602504	1590713602509	OK	 
REQUEST	22		Login	1590713602526	1590713602529	OK	 
