ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	acmevolar.model.ClienteCreaReservaCSV	clientecreareservacsv	1590716211648	 	3.3.1
USER	Clients create books	1	START	1590716213668	1590716213668
REQUEST	1		Home	1590716213773	1590716213846	OK	 
USER	Clients create books	2	START	1590716215698	1590716215698
REQUEST	2		Home	1590716215700	1590716215716	OK	 
USER	Clients create books	3	START	1590716217647	1590716217647
REQUEST	3		Home	1590716217648	1590716217660	OK	 
USER	Clients create books	4	START	1590716219648	1590716219648
REQUEST	4		Home	1590716219649	1590716219664	OK	 
USER	Clients create books	5	START	1590716221638	1590716221638
REQUEST	5		Home	1590716221639	1590716221647	OK	 
USER	Clients create books	6	START	1590716223648	1590716223648
REQUEST	6		Home	1590716223649	1590716223745	OK	 
REQUEST	1		LoginFormClient	1590716223875	1590716223880	OK	 
USER	Clients create books	7	START	1590716225628	1590716225628
REQUEST	7		Home	1590716225629	1590716225637	OK	 
REQUEST	2		LoginFormClient	1590716225724	1590716225727	OK	 
USER	Clients create books	8	START	1590716227648	1590716227648
REQUEST	8		Home	1590716227649	1590716227656	OK	 
REQUEST	3		LoginFormClient	1590716227675	1590716227679	OK	 
USER	Clients create books	9	START	1590716229635	1590716229635
REQUEST	9		Home	1590716229635	1590716229652	OK	 
REQUEST	4		LoginFormClient	1590716229679	1590716229682	OK	 
USER	Clients create books	10	START	1590716231637	1590716231637
REQUEST	10		Home	1590716231638	1590716231644	OK	 
REQUEST	5		LoginFormClient	1590716231660	1590716231662	OK	 
USER	Clients create books	11	START	1590716233635	1590716233635
REQUEST	11		Home	1590716233635	1590716233644	OK	 
REQUEST	6		LoginFormClient	1590716233769	1590716233772	OK	 
USER	Clients create books	12	START	1590716235637	1590716235637
REQUEST	12		Home	1590716235638	1590716235644	OK	 
REQUEST	7		LoginFormClient	1590716235659	1590716235663	OK	 
USER	Clients create books	13	START	1590716237637	1590716237637
REQUEST	13		Home	1590716237638	1590716237652	OK	 
REQUEST	8		LoginFormClient	1590716237668	1590716237672	OK	 
USER	Clients create books	14	START	1590716239635	1590716239635
REQUEST	14		Home	1590716239636	1590716239641	OK	 
REQUEST	9		LoginFormClient	1590716239668	1590716239671	OK	 
REQUEST	1		LoggedClient	1590716239884	1590716239890	OK	 
REQUEST	1		LoggedClient Redirect 1	1590716239895	1590716239900	OK	 
USER	Clients create books	15	START	1590716241634	1590716241634
REQUEST	15		Home	1590716241635	1590716241640	OK	 
REQUEST	10		LoginFormClient	1590716241656	1590716241659	OK	 
REQUEST	2		LoggedClient	1590716241735	1590716241741	OK	 
REQUEST	2		LoggedClient Redirect 1	1590716241742	1590716241748	OK	 
USER	Clients create books	16	START	1590716243636	1590716243636
REQUEST	16		Home	1590716243637	1590716243642	OK	 
REQUEST	11		LoginFormClient	1590716243669	1590716243672	OK	 
REQUEST	3		LoggedClient	1590716243690	1590716243695	OK	 
REQUEST	3		LoggedClient Redirect 1	1590716243696	1590716243700	OK	 
USER	Clients create books	17	START	1590716245636	1590716245636
REQUEST	17		Home	1590716245636	1590716245648	OK	 
REQUEST	12		LoginFormClient	1590716245657	1590716245660	OK	 
REQUEST	4		LoggedClient	1590716245690	1590716245695	OK	 
REQUEST	4		LoggedClient Redirect 1	1590716245696	1590716245700	OK	 
USER	Clients create books	18	START	1590716247634	1590716247634
REQUEST	18		Home	1590716247635	1590716247653	OK	 
REQUEST	13		LoginFormClient	1590716247667	1590716247670	OK	 
REQUEST	5		LoggedClient	1590716247667	1590716247673	OK	 
REQUEST	5		LoggedClient Redirect 1	1590716247674	1590716247677	OK	 
USER	Clients create books	19	START	1590716249634	1590716249634
REQUEST	19		Home	1590716249635	1590716249640	OK	 
REQUEST	14		LoginFormClient	1590716249657	1590716249660	OK	 
REQUEST	6		LoggedClient	1590716249768	1590716249774	OK	 
REQUEST	6		LoggedClient Redirect 1	1590716249775	1590716249778	OK	 
USER	Clients create books	20	START	1590716251634	1590716251634
REQUEST	20		Home	1590716251635	1590716251640	OK	 
REQUEST	15		LoginFormClient	1590716251656	1590716251660	OK	 
REQUEST	7		LoggedClient	1590716251657	1590716251662	OK	 
REQUEST	7		LoggedClient Redirect 1	1590716251663	1590716251669	OK	 
USER	Clients create books	21	START	1590716253645	1590716253645
REQUEST	21		Home	1590716253646	1590716253651	OK	 
REQUEST	16		LoginFormClient	1590716253657	1590716253659	OK	 
REQUEST	8		LoggedClient	1590716253679	1590716253684	OK	 
REQUEST	8		LoggedClient Redirect 1	1590716253685	1590716253689	OK	 
USER	Clients create books	22	START	1590716255649	1590716255649
REQUEST	22		Home	1590716255650	1590716255655	OK	 
REQUEST	17		LoginFormClient	1590716255664	1590716255667	OK	 
REQUEST	9		LoggedClient	1590716255675	1590716255680	OK	 
REQUEST	9		LoggedClient Redirect 1	1590716255681	1590716255693	OK	 
REQUEST	1		CreateBook	1590716255897	1590716255918	OK	 
USER	Clients create books	23	START	1590716257634	1590716257634
REQUEST	23		Home	1590716257635	1590716257640	OK	 
REQUEST	18		LoginFormClient	1590716257667	1590716257670	OK	 
REQUEST	10		LoggedClient	1590716257667	1590716257673	OK	 
REQUEST	10		LoggedClient Redirect 1	1590716257673	1590716257677	OK	 
REQUEST	2		CreateBook	1590716257755	1590716257772	OK	 
USER	Clients create books	24	START	1590716259638	1590716259638
REQUEST	24		Home	1590716259639	1590716259644	OK	 
REQUEST	19		LoginFormClient	1590716259660	1590716259663	OK	 
REQUEST	11		LoggedClient	1590716259665	1590716259669	OK	 
REQUEST	11		LoggedClient Redirect 1	1590716259670	1590716259675	OK	 
REQUEST	3		CreateBook	1590716259686	1590716259703	OK	 
USER	Clients create books	25	START	1590716261639	1590716261639
REQUEST	25		Home	1590716261640	1590716261653	OK	 
REQUEST	20		LoginFormClient	1590716261655	1590716261657	OK	 
REQUEST	12		LoggedClient	1590716261665	1590716261670	OK	 
REQUEST	12		LoggedClient Redirect 1	1590716261671	1590716261674	OK	 
REQUEST	4		CreateBook	1590716261686	1590716261708	OK	 
USER	Clients create books	26	START	1590716263644	1590716263644
REQUEST	26		Home	1590716263645	1590716263650	OK	 
REQUEST	21		LoginFormClient	1590716263666	1590716263669	OK	 
REQUEST	13		LoggedClient	1590716263677	1590716263683	OK	 
REQUEST	13		LoggedClient Redirect 1	1590716263683	1590716263687	OK	 
REQUEST	5		CreateBook	1590716263688	1590716263703	OK	 
USER	Clients create books	27	START	1590716265637	1590716265637
REQUEST	27		Home	1590716265638	1590716265643	OK	 
REQUEST	22		LoginFormClient	1590716265664	1590716265668	OK	 
REQUEST	14		LoggedClient	1590716265665	1590716265670	OK	 
REQUEST	14		LoggedClient Redirect 1	1590716265671	1590716265678	OK	 
REQUEST	6		CreateBook	1590716265776	1590716265794	OK	 
USER	Clients create books	28	START	1590716267639	1590716267639
