ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AirlineRegistraVuelo	airlineregistravuelo	1588724354053	 	3.3.1
USER	AirlineRegistraVuelo	2	START	1588724355215	1588724355215
USER	AirlineRegistraVuelo	1	START	1588724355197	1588724355197
USER	AirlineRegistraVuelo	3	START	1588724355237	1588724355237
USER	AirlineRegistraVuelo	4	START	1588724355259	1588724355259
USER	AirlineRegistraVuelo	5	START	1588724355274	1588724355274
REQUEST	1		Home	1588724355234	1588724355272	OK	 
REQUEST	2		Home	1588724355234	1588724355272	OK	 
REQUEST	4		Home	1588724355259	1588724355272	OK	 
REQUEST	5		Home	1588724355275	1588724355286	OK	 
REQUEST	3		Home	1588724355238	1588724355272	OK	 
USER	AirlineRegistraVuelo	6	START	1588724355295	1588724355295
REQUEST	6		Home	1588724355297	1588724355307	OK	 
USER	AirlineRegistraVuelo	7	START	1588724355317	1588724355317
REQUEST	7		Home	1588724355318	1588724355326	OK	 
USER	AirlineRegistraVuelo	8	START	1588724355344	1588724355344
REQUEST	8		Home	1588724355345	1588724355354	OK	 
USER	AirlineRegistraVuelo	9	START	1588724355355	1588724355355
REQUEST	9		Home	1588724355356	1588724355365	OK	 
USER	AirlineRegistraVuelo	10	START	1588724355377	1588724355377
REQUEST	10		Home	1588724355378	1588724355385	OK	 
USER	AirlineRegistraVuelo	11	START	1588724355399	1588724355399
REQUEST	11		Home	1588724355400	1588724355406	OK	 
USER	AirlineRegistraVuelo	12	START	1588724355414	1588724355414
REQUEST	12		Home	1588724355415	1588724355424	OK	 
USER	AirlineRegistraVuelo	13	START	1588724355436	1588724355436
REQUEST	13		Home	1588724355437	1588724355443	OK	 
USER	AirlineRegistraVuelo	14	START	1588724355458	1588724355458
REQUEST	14		Home	1588724355458	1588724355465	OK	 
USER	AirlineRegistraVuelo	15	START	1588724355480	1588724355480
REQUEST	15		Home	1588724355481	1588724355489	OK	 
USER	AirlineRegistraVuelo	16	START	1588724355495	1588724355495
REQUEST	16		Home	1588724355495	1588724355502	OK	 
USER	AirlineRegistraVuelo	17	START	1588724355517	1588724355517
REQUEST	17		Home	1588724355517	1588724355525	OK	 
USER	AirlineRegistraVuelo	18	START	1588724355539	1588724355539
REQUEST	18		Home	1588724355539	1588724355547	OK	 
USER	AirlineRegistraVuelo	19	START	1588724355554	1588724355554
REQUEST	19		Home	1588724355555	1588724355562	OK	 
USER	AirlineRegistraVuelo	20	START	1588724355576	1588724355576
REQUEST	20		Home	1588724355577	1588724355583	OK	 
USER	AirlineRegistraVuelo	21	START	1588724355618	1588724355618
REQUEST	21		Home	1588724355618	1588724355624	OK	 
USER	AirlineRegistraVuelo	22	START	1588724355639	1588724355639
