ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	acmevolar.performance.AirlineRegistraVuelo	airlineregistravuelo	1589279885825	 	3.3.1
USER	AirlineRegistraVuelo	2	START	1589279887479	1589279887479
USER	AirlineRegistraVuelo	1	START	1589279887453	1589279887453
USER	AirlineRegistraVuelo	3	START	1589279887501	1589279887501
USER	AirlineRegistraVuelo	4	START	1589279887516	1589279887516
USER	AirlineRegistraVuelo	5	START	1589279887538	1589279887538
USER	AirlineRegistraVuelo	6	START	1589279887560	1589279887560
USER	AirlineRegistraVuelo	7	START	1589279887582	1589279887582
USER	AirlineRegistraVuelo	8	START	1589279887597	1589279887597
USER	AirlineRegistraVuelo	9	START	1589279887619	1589279887619
USER	AirlineRegistraVuelo	10	START	1589279887640	1589279887640
USER	AirlineRegistraVuelo	11	START	1589279887656	1589279887656
USER	AirlineRegistraVuelo	12	START	1589279887680	1589279887680
USER	AirlineRegistraVuelo	13	START	1589279887696	1589279887696
USER	AirlineRegistraVuelo	14	START	1589279887729	1589279887729
USER	AirlineRegistraVuelo	15	START	1589279887750	1589279887750
USER	AirlineRegistraVuelo	16	START	1589279887766	1589279887766
USER	AirlineRegistraVuelo	17	START	1589279887787	1589279887787
USER	AirlineRegistraVuelo	18	START	1589279887809	1589279887809
USER	AirlineRegistraVuelo	19	START	1589279887831	1589279887831
USER	AirlineRegistraVuelo	20	START	1589279887847	1589279887847
USER	AirlineRegistraVuelo	21	START	1589279887869	1589279887869
USER	AirlineRegistraVuelo	22	START	1589279887891	1589279887891
USER	AirlineRegistraVuelo	23	START	1589279887906	1589279887906
USER	AirlineRegistraVuelo	24	START	1589279887928	1589279887928
USER	AirlineRegistraVuelo	25	START	1589279887950	1589279887950
USER	AirlineRegistraVuelo	26	START	1589279887972	1589279887972
USER	AirlineRegistraVuelo	27	START	1589279887987	1589279887987
USER	AirlineRegistraVuelo	28	START	1589279888014	1589279888014
USER	AirlineRegistraVuelo	29	START	1589279888027	1589279888027
USER	AirlineRegistraVuelo	30	START	1589279888048	1589279888048
USER	AirlineRegistraVuelo	31	START	1589279888070	1589279888070
USER	AirlineRegistraVuelo	32	START	1589279888086	1589279888086
USER	AirlineRegistraVuelo	33	START	1589279888107	1589279888107
USER	AirlineRegistraVuelo	34	START	1589279888129	1589279888129
USER	AirlineRegistraVuelo	35	START	1589279888156	1589279888156
USER	AirlineRegistraVuelo	36	START	1589279888178	1589279888178
USER	AirlineRegistraVuelo	37	START	1589279888200	1589279888200
USER	AirlineRegistraVuelo	38	START	1589279888216	1589279888216
USER	AirlineRegistraVuelo	39	START	1589279888238	1589279888238
USER	AirlineRegistraVuelo	40	START	1589279888260	1589279888260
USER	AirlineRegistraVuelo	41	START	1589279888282	1589279888282
USER	AirlineRegistraVuelo	42	START	1589279888297	1589279888297
USER	AirlineRegistraVuelo	43	START	1589279888319	1589279888319
USER	AirlineRegistraVuelo	44	START	1589279888341	1589279888341
USER	AirlineRegistraVuelo	45	START	1589279888356	1589279888356
USER	AirlineRegistraVuelo	46	START	1589279888378	1589279888378
USER	AirlineRegistraVuelo	47	START	1589279888399	1589279888399
USER	AirlineRegistraVuelo	48	START	1589279888421	1589279888421
USER	AirlineRegistraVuelo	49	START	1589279888436	1589279888436
USER	AirlineRegistraVuelo	50	START	1589279888458	1589279888458
USER	AirlineRegistraVuelo	51	START	1589279888480	1589279888480
USER	AirlineRegistraVuelo	52	START	1589279888496	1589279888496
USER	AirlineRegistraVuelo	53	START	1589279888517	1589279888517
USER	AirlineRegistraVuelo	54	START	1589279888539	1589279888539
USER	AirlineRegistraVuelo	55	START	1589279888561	1589279888561
USER	AirlineRegistraVuelo	56	START	1589279888576	1589279888576
USER	AirlineRegistraVuelo	57	START	1589279888598	1589279888598
USER	AirlineRegistraVuelo	58	START	1589279888620	1589279888620
USER	AirlineRegistraVuelo	59	START	1589279888642	1589279888642
