ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.Plane	plane	1589924592922	 	3.3.1
USER	Airlines	1	START	1589924595333	1589924595333
USER	Clients	22	START	1589924595395	1589924595395
USER	Airlines	2	START	1589924595606	1589924595606
USER	Clients	23	START	1589924595606	1589924595606
USER	Airlines	3	START	1589924595667	1589924595667
USER	Airlines	4	START	1589924595740	1589924595740
USER	Clients	24	START	1589924595758	1589924595758
USER	Airlines	5	START	1589924595835	1589924595835
REQUEST	23		ClientLogin	1589924595610	1589924595850	OK	 
REQUEST	24		ClientLogin	1589924595759	1589924595847	OK	 
REQUEST	4		AirlineLogin	1589924595741	1589924595828	OK	 
REQUEST	2		AirlineLogin	1589924595608	1589924595892	OK	 
REQUEST	1		AirlineLogin	1589924595452	1589924595553	OK	 
REQUEST	22		ClientLogin	1589924595451	1589924595564	OK	 
REQUEST	3		AirlineLogin	1589924595668	1589924595789	OK	 
USER	Airlines	6	START	1589924595971	1589924595971
REQUEST	5		AirlineLogin	1589924595836	1589924595999	OK	 
REQUEST	6		AirlineLogin	1589924595972	1589924596016	OK	 
USER	Clients	25	START	1589924596025	1589924596025
REQUEST	25		ClientLogin	1589924596026	1589924596032	OK	 
USER	Airlines	7	START	1589924596037	1589924596037
REQUEST	7		AirlineLogin	1589924596040	1589924596050	OK	 
USER	Airlines	8	START	1589924596142	1589924596142
REQUEST	8		AirlineLogin	1589924596143	1589924596149	OK	 
USER	Clients	26	START	1589924596162	1589924596162
REQUEST	26		ClientLogin	1589924596163	1589924596170	OK	 
USER	Airlines	9	START	1589924596231	1589924596231
REQUEST	9		AirlineLogin	1589924596231	1589924596237	OK	 
USER	Airlines	10	START	1589924596331	1589924596331
REQUEST	10		AirlineLogin	1589924596332	1589924596338	OK	 
USER	Clients	27	START	1589924596358	1589924596358
REQUEST	27		ClientLogin	1589924596359	1589924596365	OK	 
USER	Airlines	11	START	1589924596431	1589924596431
REQUEST	11		AirlineLogin	1589924596432	1589924596436	OK	 
USER	Airlines	12	START	1589924596532	1589924596532
REQUEST	12		AirlineLogin	1589924596533	1589924596540	OK	 
USER	Clients	28	START	1589924596559	1589924596559
REQUEST	28		ClientLogin	1589924596560	1589924596566	OK	 
USER	Airlines	13	START	1589924596628	1589924596628
REQUEST	13		AirlineLogin	1589924596629	1589924596636	OK	 
USER	Airlines	14	START	1589924596727	1589924596727
REQUEST	14		AirlineLogin	1589924596728	1589924596734	OK	 
USER	Clients	29	START	1589924596760	1589924596760
REQUEST	29		ClientLogin	1589924596761	1589924596766	OK	 
USER	Airlines	15	START	1589924596830	1589924596830
REQUEST	15		AirlineLogin	1589924596831	1589924596837	OK	 
USER	Airlines	16	START	1589924596932	1589924596932
REQUEST	16		AirlineLogin	1589924596932	1589924596937	OK	 
USER	Clients	30	START	1589924596957	1589924596957
REQUEST	30		ClientLogin	1589924596958	1589924596963	OK	 
USER	Airlines	17	START	1589924597031	1589924597031
REQUEST	17		AirlineLogin	1589924597032	1589924597038	OK	 
USER	Airlines	18	START	1589924597131	1589924597131
REQUEST	18		AirlineLogin	1589924597132	1589924597138	OK	 
USER	Clients	31	START	1589924597157	1589924597157
REQUEST	31		ClientLogin	1589924597158	1589924597162	OK	 
USER	Airlines	19	START	1589924597232	1589924597232
REQUEST	19		AirlineLogin	1589924597232	1589924597241	OK	 
USER	Airlines	20	START	1589924597332	1589924597332
