ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	simulations.RegistrationClientAndAirline	registrationclientandairline	1590791177102	 	3.3.1
USER	RegistrationAirline	1	START	1590791178778	1590791178778
USER	RegistrationAirline	2	START	1590791178823	1590791178823
USER	RegistrationClient	43	START	1590791178808	1590791178808
USER	RegistrationClient	42	START	1590791178807	1590791178807
USER	RegistrationClient	44	START	1590791178860	1590791178860
USER	RegistrationAirline	3	START	1590791178872	1590791178872
USER	RegistrationClient	45	START	1590791178910	1590791178910
USER	RegistrationAirline	4	START	1590791178920	1590791178920
REQUEST	45		Home	1590791178910	1590791178941	OK	 
REQUEST	42		Home	1590791178848	1590791178944	OK	 
REQUEST	4		Home	1590791178921	1590791178941	OK	 
REQUEST	43		Home	1590791178848	1590791178941	OK	 
REQUEST	1		Home	1590791178848	1590791178972	OK	 
USER	RegistrationClient	46	START	1590791178975	1590791178975
USER	RegistrationAirline	5	START	1590791178979	1590791178979
USER	RegistrationClient	47	START	1590791179014	1590791179014
USER	RegistrationAirline	6	START	1590791179054	1590791179054
USER	RegistrationClient	48	START	1590791179069	1590791179069
REQUEST	2		Home	1590791178848	1590791179067	OK	 
REQUEST	3		Home	1590791178877	1590791179069	OK	 
REQUEST	46		Home	1590791178979	1590791179076	OK	 
REQUEST	47		Home	1590791179015	1590791179081	OK	 
REQUEST	6		Home	1590791179055	1590791179084	OK	 
REQUEST	48		Home	1590791179071	1590791179090	OK	 
REQUEST	44		Home	1590791178861	1590791179078	OK	 
REQUEST	5		Home	1590791178997	1590791179094	OK	 
USER	RegistrationAirline	7	START	1590791179092	1590791179092
REQUEST	7		Home	1590791179102	1590791179111	OK	 
USER	RegistrationClient	49	START	1590791179116	1590791179116
REQUEST	49		Home	1590791179117	1590791179126	OK	 
USER	RegistrationAirline	8	START	1590791179135	1590791179135
REQUEST	8		Home	1590791179135	1590791179142	OK	 
USER	RegistrationClient	50	START	1590791179161	1590791179161
REQUEST	50		Home	1590791179161	1590791179167	OK	 
USER	RegistrationAirline	9	START	1590791179183	1590791179183
REQUEST	9		Home	1590791179183	1590791179189	OK	 
USER	RegistrationClient	51	START	1590791179210	1590791179210
REQUEST	51		Home	1590791179210	1590791179218	OK	 
USER	RegistrationAirline	10	START	1590791179231	1590791179231
REQUEST	10		Home	1590791179231	1590791179237	OK	 
USER	RegistrationClient	52	START	1590791179263	1590791179263
REQUEST	52		Home	1590791179263	1590791179269	OK	 
USER	RegistrationAirline	11	START	1590791179284	1590791179284
REQUEST	11		Home	1590791179285	1590791179292	OK	 
USER	RegistrationClient	53	START	1590791179309	1590791179309
REQUEST	53		Home	1590791179310	1590791179315	OK	 
USER	RegistrationAirline	12	START	1590791179341	1590791179341
REQUEST	12		Home	1590791179342	1590791179347	OK	 
USER	RegistrationClient	54	START	1590791179362	1590791179362
REQUEST	54		Home	1590791179363	1590791179368	OK	 
USER	RegistrationAirline	13	START	1590791179394	1590791179394
REQUEST	13		Home	1590791179395	1590791179400	OK	 
USER	RegistrationClient	55	START	1590791179414	1590791179414
REQUEST	55		Home	1590791179415	1590791179420	OK	 
USER	RegistrationAirline	14	START	1590791179440	1590791179440
REQUEST	14		Home	1590791179440	1590791179445	OK	 
USER	RegistrationClient	56	START	1590791179460	1590791179460
REQUEST	56		Home	1590791179461	1590791179466	OK	 
USER	RegistrationAirline	15	START	1590791179493	1590791179493
REQUEST	15		Home	1590791179494	1590791179499	OK	 
USER	RegistrationClient	57	START	1590791179514	1590791179514
REQUEST	57		Home	1590791179515	1590791179521	OK	 
USER	RegistrationAirline	16	START	1590791179540	1590791179540
REQUEST	16		Home	1590791179540	1590791179546	OK	 
USER	RegistrationClient	58	START	1590791179561	1590791179561
REQUEST	58		Home	1590791179562	1590791179567	OK	 
USER	RegistrationAirline	17	START	1590791179593	1590791179593
REQUEST	17		Home	1590791179593	1590791179598	OK	 
USER	RegistrationClient	59	START	1590791179615	1590791179615
